# 代理店マスタ (検査対象の代理店コード一覧)
#
#   出典: 代理店リスト スプレッドシート
#     B列 会社名 / C列 代理店コード (insAgentNo の値) /
#     D列 みらやく掲載可否 / E列 委託契約書 (扱い)
#
#   mirayaku: ○ = 掲載可 / × = 掲載不可 / エラー = 判定エラー / 要確認 = 記載が空欄
#
#   status / startsOn は任意の列 (列が無くても動く)。
#     status  : 空欄なら稼働中。「未稼働」「停止」など空欄以外は検査しない。
#               稼働していないコードは代理店名が出ないのが正しく、
#               検査すると必ず不具合として出てしまうため。
#     startsOn: 稼働開始日 (2026-09-01)。その日までは検査せず、
#               日付を過ぎたら自動で検査対象に戻る (消し忘れが起きない)。
#     どちらの理由も画面の「備考」に一覧で出る。
#   handling: 委託契約書の区分。挙動が変わるのは次の 2 つ。
#     ダイレクト扱い       … 自社コードと同じ。代理店名を出さない
#     ダイレクトNOみらやく … ダイレクト扱い + みらやく掲載不可
#     新契約 / 旧契約      … 通常の代理店 (みらやく掲載可否で挙動が決まる)
#
#   このファイルを更新して `npm run agencies:build` を実行すると
#   config/agencies.yml が再生成される (テストコードは変更不要)。

code	company	mirayaku	handling	note	status	startsOn
littlefamily57br03	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br04	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br05	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br06	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br07	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br08	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br09	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br10	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br11	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br12	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br13	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br14	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br15	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br16	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br17	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br18	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br19	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily57br20	株式会社ジャパンペットコミュニケーションズ	×	新契約	支店コード		
littlefamily33br01	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br02	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br03	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br04	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br05	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br06	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br07	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br08	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br09	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br10	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br11	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br12	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br13	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br14	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br15	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br16	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br17	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br18	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br19	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br20	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br21	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br22	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br23	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br24	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br25	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br26	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br27	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br28	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br29	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br30	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br31	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br32	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br33	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br34	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br35	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br36	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br37	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br38	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br39	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br40	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br41	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br42	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br43	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br44	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br45	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br46	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br47	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br48	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br49	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
littlefamily33br50	Sasuke Financial Lab株式会社（注：届出募集人対面用）	×	新契約	支店コード		
